Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-03-14;19;20555,563;11504,913;954,913;229,913;6351,725;1482,950;1210,263
2020-03-14;20;20537,013;11477,188;932,138;229,613;6297,688;1419,800;1348,763
2020-03-14;21;19864,988;10742,338;773,863;229,275;6221,450;1556,300;1355,250
2020-03-14;22;18784,525;9707,213;391,963;230,425;6242,438;1493,763;1352,813
2020-03-14;23;17715,150;8720,563;254,275;230,300;6350,688;1303,013;1349,238
2020-03-14;24;16678,963;8439,163;24,863;132,538;6611,400;324,438;1347,075
2020-03-15;1;15727,325;6875,550;-42,938;0,000;6953,338;818,825;1128,800
2020-03-15;2;15191,113;6530,788;-254,150;0,000;7322,450;686,275;912,863
2020-03-15;3;14848,025;6520,200;-450,475;0,000;7628,763;422,475;740,263
2020-03-15;4;14794,163;6634,638;-450,063;0,000;7771,400;274,100;575,563
2020-03-15;5;14883,725;6700,363;-472,563;0,000;7933,450;252,475;474,538
2020-03-15;6;14839,700;6843,038;-552,863;0,000;8199,238;68,500;285,300
2020-03-15;7;14835,113;6727,150;-840,813;0,000;8379,313;187,513;385,375
2020-03-15;8;15236,525;6772,625;-679,500;0,000;8098,688;503,738;550,575
2020-03-15;9;15490,200;6766,325;-224,875;0,000;7625,650;631,100;718,750
2020-03-15;10;15877,513;6710,138;-67,175;0,000;7811,575;741,313;753,063
2020-03-15;11;16197,963;6639,913;120,500;0,000;7994,425;824,325;754,813
2020-03-15;12;16246,063;6673,125;507,213;0,000;8017,413;816,700;755,725
2020-03-15;13;16285,450;6739,100;607,400;0,000;8048,838;752,375;751,888
2020-03-15;14;16326,975;6703,175;578,438;0,000;8121,388;775,450;742,050
2020-03-15;15;16148,413;6417,138;282,700;0,000;8324,725;691,988;725,888
2020-03-15;16;16140,125;6606,763;179,650;0,000;8486,975;505,288;552,400
2020-03-15;17;16492,450;7061,950;267,500;0,000;8556,000;353,425;534,750
2020-03-15;18;17219,288;7542,013;133,300;0,000;8747,138;-200,763;1140,963
2020-03-15;19;18801,050;8413,075;106,600;0,000;9401,900;-211,938;1203,825
2020-03-15;20;19026,225;8215,125;100,550;0,000;9813,500;-165,138;1181,175
2020-03-15;21;18518,513;7408,713;107,438;0,000;10091,475;-106,950;1148,488
2020-03-15;22;17974,625;7269,063;343,038;0,000;10177,988;-311,538;855,700
2020-03-15;23;17289,813;7184,600;200,113;0,000;9993,788;-461,438;587,775
2020-03-15;24;16337,100;6897,913;-115,500;0,000;9812,563;-802,063;546,575
2020-03-16;1;15601,325;7539,825;-825,563;0,000;9637,713;-1012,575;265,013
2020-03-16;2;15290,825;7435,788;-1076,838;0,000;9579,450;-888,400;244,225
2020-03-16;3;15150,388;7603,513;-1073,763;0,000;9476,575;-1094,225;244,838
2020-03-16;4;15143,000;7808,375;-1067,963;0,000;9377,538;-1221,138;243,938
2020-03-16;5;15537,388;8035,788;-1064,688;0,000;9380,925;-1054,813;243,663
2020-03-16;6;16223,213;8461,988;-896,563;0,000;9346,313;-958,525;273,850
2020-03-16;7;18292,800;9469,038;-239,838;0,000;9258,550;-799,775;612,188
2020-03-16;8;20428,563;11430,313;6,475;0,000;8976,163;-908,850;943,113
2020-03-16;9;21342,113;11667,800;105,013;0,000;8465,813;47,025;1169,338
2020-03-16;10;21476,175;11737,313;145,350;0,000;8032,638;430,725;1289,450
2020-03-16;11;21137,688;11330,538;73,788;0,000;7729,488;867,750;1221,750
2020-03-16;12;21379,588;11709,575;116,275;0,000;7559,338;886,238;1233,700
2020-03-16;13;21584,150;11878,913;183,250;0,000;7620,338;863,225;1226,175
2020-03-16;14;21630,900;12076,000;373,163;0,000;7468,738;783,300;1314,113
2020-03-16;15;21354,238;11674,100;139,325;0,000;7506,938;859,200;1324,725
2020-03-16;16;21186,713;11582,050;57,350;0,000;7392,663;889,363;1325,538
2020-03-16;17;21123,975;11899,138;176,250;0,000;7118,913;793,450;1320,650
2020-03-16;18;21313,763;12496,813;157,738;0,000;6884,013;675,788;1265,850
2020-03-16;19;22532,413;13946,088;92,775;0,000;7357,775;290,500;939,400
2020-03-16;20;22791,700;13958,588;121,613;0,000;7581,100;-17,550;1279,313
2020-03-16;21;22107,050;12691,150;106,413;0,000;7715,438;467,288;1224,738
2020-03-16;22;20640,563;10666,950;6,375;0,000;7746,088;945,125;1293,038
2020-03-16;23;19247,950;9985,150;-10,175;0,000;7411,663;810,813;1051,988
2020-03-16;24;18046,150;9802,950;195,338;0,000;7075,400;321,025;866,088
2020-03-17;1;17306,163;9893,200;82,988;0,000;6790,750;238,263;430,063
2020-03-17;2;16861,550;10434,475;-299,075;0,000;6499,200;-220,213;449,513
2020-03-17;3;16619,313;10399,800;-348,563;0,000;6313,625;-210,925;468,125
2020-03-17;4;16719,825;10519,713;-347,425;0,000;6138,913;-36,138;441,950
2020-03-17;5;16938,900;10425,938;-347,400;0,000;6003,238;332,738;528,263
2020-03-17;6;17251,975;10436,400;-420,575;0,000;5980,650;415,638;839,088
2020-03-17;7;18927,513;11277,838;-271,738;0,000;6034,075;869,050;1028,050
2020-03-17;8;20776,938;12585,013;-6,775;0,000;5818,138;1362,563;1022,888
2020-03-17;9;21494,250;13231,288;-6,275;0,000;5624,525;1527,338;1121,750
2020-03-17;10;21502,625;13310,100;38,113;0,000;5608,350;1414,788;1181,988
2020-03-17;11;21235,050;12906,675;115,025;0,000;5642,400;1408,825;1290,388
2020-03-17;12;21421,850;12914,875;108,713;0,000;5724,338;1466,025;1319,875
2020-03-17;13;21467,663;13115,588;108,325;0,000;5736,375;1316,850;1312,538
2020-03-17;14;21483,825;13021,925;11,150;0,000;5842,613;1302,975;1325,688
2020-03-17;15;20940,888;12489,163;-2,475;0,000;5842,288;1282,675;1325,388
2020-03-17;16;20646,775;12134,413;52,775;0,000;5729,113;1464,488;1323,875
2020-03-17;17;20628,013;12316,188;174,388;0,000;5513,925;1466,088;1325,288
2020-03-17;18;21044,813;12836,925;36,088;0,000;5448,638;1440,363;1325,525
2020-03-17;19;22339,925;13814,075;94,088;0,000;5761,125;1438,113;1323,538
2020-03-17;20;22528,175;13817,488;140,163;0,000;5980,713;1416,938;1323,388
2020-03-17;21;21919,363;12997,763;252,075;0,000;6053,288;1554,963;1324,250
2020-03-17;22;20396,050;11369,425;65,175;0,000;6203,613;1508,775;1324,775
2020-03-17;23;19060,138;10569,363;45,800;0,000;6390,313;807,013;1313,663
2020-03-17;24;17926,000;9919,238;19,238;0,000;6360,100;538,450;1129,375
2020-03-18;1;17101,575;10154,525;48,138;0,000;6282,513;56,363;630,550
2020-03-18;2;16567,363;9600,175;-16,038;0,000;6387,375;22,088;580,063
2020-03-18;3;16277,288;9425,650;-16,000;0,000;6431,863;-141,775;580,913
2020-03-18;4;16228,850;9358,963;-16,025;0,000;6495,488;-185,425;581,750
2020-03-18;5;16432,900;9508,863;-89,150;0,000;6553,663;-158,700;628,875
2020-03-18;6;16722,938;9776,025;-337,863;0,000;6606,938;-418,188;1101,100
2020-03-18;7;18368,800;10497,138;-48,113;0,000;6878,213;183,475;861,388
2020-03-18;8;20282,638;11661,188;-6,850;0,000;7070,313;723,213;836,725
2020-03-18;9;21050,838;12002,875;112,625;0,000;6919,788;1130,188;1007,200
2020-03-18;10;20948,813;11456,750;310,813;0,000;7006,150;1273,288;1223,838
2020-03-18;11;20685,938;10507,550;198,688;0,000;7529,400;1388,250;1271,200
2020-03-18;12;20913,963;10394,350;235,213;0,000;7878,338;1362,900;1276,763
2020-03-18;13;20861,513;10467,100;317,188;0,000;8019,313;1067,050;1322,450
2020-03-18;14;20834,463;10466,613;280,038;0,000;7988,213;1069,013;1325,013
2020-03-18;15;20371,900;10165,725;81,863;0,000;7887,350;1012,275;1314,788
2020-03-18;16;20279,775;10174,675;-6,475;0,000;7734,163;1056,325;1325,575
2020-03-18;17;20267,638;10484,825;32,588;0,000;7391,538;1067,338;1326,088
2020-03-18;18;20713,850;11083,600;162,825;0,000;7263,400;1141,513;1226,350
2020-03-18;19;22016,688;12214,888;95,988;0,000;7308,175;1424,763;1065,563
2020-03-18;20;22440,188;12453,788;107,788;0,000;7501,950;1189,813;1297,688
2020-03-18;21;21660,913;11990,363;100,288;0,000;7491,775;874,413;1323,950
2020-03-18;22;20328,825;11089,463;4,925;0,000;7421,250;511,213;1323,138
2020-03-18;23;18882,875;10223,625;-6,363;0,000;7212,513;133,238;1323,588
2020-03-18;24;17820,063;9965,363;-10,088;0,000;6868,638;-298,938;1302,375
2020-03-19;1;16993,363;9615,788;-83,313;0,000;6595,425;-269,813;1143,113
2020-03-19;2;16415,125;9851,850;-410,838;0,000;6484,813;-637,513;1132,363
2020-03-19;3;15998,938;9697,750;-474,125;0,000;6330,138;-682,963;1134,413
2020-03-19;4;16026,375;9805,475;-472,713;0,000;6165,138;-603,325;1136,763
2020-03-19;5;16139,125;9639,438;-538,513;0,000;6045,913;-144,475;1139,850
2020-03-19;6;16485,138;9470,963;-600,325;0,000;6016,338;516,963;1085,638
2020-03-19;7;17965,663;10076,425;-294,350;0,000;6155,225;993,513;1037,575
2020-03-19;8;19827,363;11587,250;-17,050;0,000;5993,225;1159,750;1116,863
2020-03-19;9;20734,263;12760,825;97,738;0,000;5678,963;1093,275;1205,775
2020-03-19;10;20984,163;13119,238;180,725;0,000;5600,725;955,913;1319,625
2020-03-19;11;20863,938;12867,963;313,275;0,000;5555,613;1116,513;1332,725
2020-03-19;12;21182,863;12929,775;624,675;0,000;5650,100;1271,463;1333,700
2020-03-19;13;21315,713;12848,688;671,025;0,000;5674,663;1468,800;1332,475
2020-03-19;14;21329,463;12850,975;493,938;0,000;5742,850;1407,113;1332,325
2020-03-19;15;20936,388;12491,600;147,338;0,000;5735,688;1371,013;1335,563
2020-03-19;16;20658,000;12501,425;113,500;0,000;5733,163;1088,950;1336,125
2020-03-19;17;20433,038;12190,900;-7,175;0,000;5599,425;1313,088;1333,813
2020-03-19;18;20595,513;12437,250;37,925;0,000;5448,500;1383,625;1335,275
2020-03-19;19;21822,163;13259,875;97,313;0,000;5704,313;1534,338;1334,088
2020-03-19;20;22190,813;13561,113;123,513;0,000;5840,900;1465,063;1334,438
2020-03-19;21;21460,688;12812,413;107,788;0,000;5792,513;1536,825;1334,413
2020-03-19;22;20106,613;11646,513;6,888;0,000;5555,888;1584,625;1334,913
2020-03-19;23;18723,888;10238,063;31,700;0,000;5542,900;1615,913;1333,063
2020-03-19;24;17741,038;9533,238;95,238;0,000;5392,525;1499,663;1334,463
2020-03-20;1;16824,738;9450,613;-41,475;0,000;5245,463;1183,300;990,950
2020-03-20;2;16182,113;9570,763;-195,025;0,000;5180,600;850,313;775,650
2020-03-20;3;16065,363;10139,525;-461,200;0,000;5209,250;389,588;789,475
2020-03-20;4;16031,175;10209,863;-854,388;0,000;5183,413;724,263;774,975
2020-03-20;5;16298,550;9779,950;-773,675;0,000;5204,725;1205,863;887,688
2020-03-20;6;16504,400;9697,200;-555,050;0,000;5181,138;1426,038;760,500
2020-03-20;7;18180,225;10803,400;-28,613;0,000;5262,350;1454,425;691,188
2020-03-20;8;20160,463;12841,338;-5,975;0,000;5262,725;1518,738;551,575
2020-03-20;9;21115,550;13572,788;211,263;0,000;5256,150;1531,588;762,275
2020-03-20;10;21261,300;13271,400;372,463;0,000;5330,738;1579,850;1092,113
2020-03-20;11;21008,150;12989,450;446,600;0,000;5349,825;1352,975;1321,375
2020-03-20;12;21296,525;13079,063;332,413;0,000;5436,113;1448,300;1333,850
2020-03-20;13;21345,475;13042,963;301,313;0,000;5474,838;1516,688;1320,700
2020-03-20;14;21476,888;13241,588;421,363;0,000;5494,088;1418,000;1333,025
2020-03-20;15;21171,125;12759,888;245,213;0,000;5586,963;1497,788;1334,975
2020-03-20;16;20851,188;12214,550;51,213;0,000;5809,088;1500,863;1334,588
2020-03-20;17;20675,000;11945,613;-6,063;0,000;5935,050;1480,075;1325,463
2020-03-20;18;20797,050;12283,913;12,188;0,000;6014,725;1335,225;1167,675
2020-03-20;19;21892,325;12979,088;112,413;0,000;6532,575;1396,700;987,138
2020-03-20;20;21959,175;12645,063;322,288;0,000;6515,825;1494,100;1314,175
2020-03-20;21;21070,550;11859,638;420,600;0,000;6446,888;1438,613;1336,063
2020-03-20;22;19694,575;10363,025;242,100;0,000;6605,388;1441,913;1294,825
2020-03-20;23;18515,500;8968,638;1,000;0,000;6804,250;1425,900;1330,350
2020-03-20;24;17458,050;8919,988;-10,088;0,000;6729,138;789,913;1036,550
2020-03-21;1;16493,175;8651,850;-9,250;0,000;7092,800;31,200;727,875
2020-03-21;2;15905,825;8269,775;-9,100;0,000;7355,038;-265,988;560,300
2020-03-21;3;15502,725;7951,725;-9,100;0,000;7299,738;-212,475;479,738
2020-03-21;4;15504,563;7830,863;-9,113;0,000;7463,225;-307,775;533,263
2020-03-21;5;15508,088;7942,200;-177,875;0,000;7507,613;-179,675;423,238
2020-03-21;6;15150,050;7691,363;-219,225;0,000;7522,350;-165,775;327,713
2020-03-21;7;15858,725;8084,800;-339,413;0,000;7872,213;-44,588;290,500
2020-03-21;8;16839,050;8317,288;-339,988;0,000;8210,313;204,188;459,425
2020-03-21;9;17683,913;8076,075;-478,938;0,000;8852,038;604,188;669,550
2020-03-21;10;18536,413;7721,338;-0,575;0,000;9133,475;879,125;887,238
2020-03-21;11;18811,275;7615,138;101,888;0,000;9112,675;801,125;1291,925
2020-03-21;12;18986,488;7902,463;165,300;0,000;8993,750;779,113;1317,688
2020-03-21;13;18940,038;8096,638;177,250;0,000;8761,113;773,788;1315,388
2020-03-21;14;18787,625;8129,338;148,125;0,000;8579,413;799,400;1294,875
2020-03-21;15;18277,038;8143,550;-7,688;0,000;8452,575;632,263;1062,538
2020-03-21;16;17801,525;8045,325;-124,850;0,000;8534,488;446,388;892,175
2020-03-21;17;17927,288;7909,100;-15,400;0,000;8465,763;595,450;989,838
2020-03-21;18;18209,775;7893,675;-132,725;0,000;8362,200;822,050;1296,988
2020-03-21;19;19338,913;8776,488;147,375;0,000;8193,838;1244,013;1117,838
2020-03-21;20;19603,925;8864,363;269,238;0,000;8215,763;1210,025;1318,325
2020-03-21;21;19045,500;8381,788;448,013;0,000;8303,338;1138,638;1244,450
2020-03-21;22;18035,950;8271,275;660,150;0,000;8188,413;612,125;975,313
2020-03-21;23;17060,613;8016,588;457,488;0,000;7992,113;377,863;685,725
2020-03-21;24;16153,200;7754,888;26,975;0,000;7857,800;99,538;466,225
2020-03-22;1;15274,763;7399,325;-37,625;0,000;7735,200;-51,450;235,338
2020-03-22;2;14713,150;7113,888;-225,375;0,000;7549,500;178,100;100,188
2020-03-22;3;14334,125;6875,850;-265,325;0,000;7583,138;84,775;61,700
2020-03-22;4;14216,150;6851,688;-375,213;0,000;7504,125;226,838;13,200
2020-03-22;5;14235,650;6986,063;-464,513;0,000;7506,938;201,513;7,163
2020-03-22;6;13899,850;6656,700;-581,463;0,000;7719,775;171,625;-61,050
2020-03-22;7;14053,800;6724,825;-715,538;0,000;7799,950;299,750;-50,063
2020-03-22;8;14564,300;6953,725;-301,438;0,000;7656,363;62,200;198,238
2020-03-22;9;15148,963;6857,138;-12,613;0,000;8076,450;16,363;220,188
2020-03-22;10;15598,550;6683,088;19,213;0,000;8756,175;30,125;232,763
2020-03-22;11;16083,913;6926,363;102,288;0,000;8904,500;65,725;219,863
2020-03-22;12;16356,875;7341,300;83,263;0,000;8790,188;17,775;222,825
2020-03-22;13;16513,250;7664,713;-1,900;0,000;8610,850;-4,325;262,388
2020-03-22;14;16662,813;7808,763;-13,650;0,000;8531,475;36,463;307,800
2020-03-22;15;16404,038;7533,500;-13,275;0,000;8652,788;2,500;232,488
2020-03-22;16;16163,375;7384,575;-12,850;0,000;8641,200;-76,325;226,713
2020-03-22;17;16342,175;7414,563;-63,450;0,000;8540,913;70,525;384,725
2020-03-22;18;16760,500;7823,463;-43,013;0,000;8071,263;16,438;906,750
2020-03-22;19;18210,638;8866,350;114,613;0,000;7803,275;381,488;1166,388
2020-03-22;20;18786,938;8844,350;310,425;0,000;7911,475;993,800;1049,150
2020-03-22;21;18301,288;7794,400;180,600;0,000;8079,400;1224,513;1230,325
2020-03-22;22;17421,400;7018,500;-268,363;0,000;8038,425;1329,463;1311,313
2020-03-22;23;16796,038;6777,825;-52,413;0,000;7913,813;843,563;1320,888
2020-03-22;24;16081,275;6869,125;-13,238;0,000;7632,425;675,475;926,575
2020-03-23;1;15304,363;7554,138;-41,613;0,000;7422,713;-126,513;498,963
2020-03-23;2;14918,450;7715,463;-259,725;0,000;7184,238;-66,750;345,850
2020-03-23;3;14787,800;7833,038;-284,988;0,000;7005,100;-141,725;376,525
2020-03-23;4;14816,800;7977,088;-367,363;0,000;6901,850;-173,238;485,188
2020-03-23;5;15014,038;8427,700;-432,425;0,000;6867,050;-197,050;353,550
2020-03-23;6;15295,363;8271,275;-546,625;0,000;6846,263;362,625;366,388
2020-03-23;7;17345,875;9295,763;-108,413;0,000;6773,650;871,200;527,575
2020-03-23;8;19319,438;11027,025;93,950;0,000;6287,600;1216,525;806,563
2020-03-23;9;20504,113;12283,525;275,225;0,000;6071,100;1298,950;860,638
2020-03-23;10;20617,975;11609,788;273,363;0,000;6571,400;1398,225;1050,725
2020-03-23;11;20358,888;10811,913;30,513;0,000;6873,163;1482,488;1203,338
2020-03-23;12;20632,738;11285,788;16,275;0,000;6624,250;1505,150;1216,113
2020-03-23;13;20817,075;11686,600;17,550;0,000;6463,288;1520,875;1153,625
2020-03-23;14;20966,213;11897,000;297,913;0,000;6399,938;1488,063;1186,838
2020-03-23;15;20549,875;11454,488;317,963;0,000;6395,850;1513,238;1191,088
2020-03-23;16;20309,300;11320,425;287,950;0,000;6419,900;1335,075;1241,238
2020-03-23;17;20378,338;11084,738;261,975;0,000;6523,625;1510,525;1257,400
2020-03-23;18;20620,588;11225,950;227,800;0,000;6544,000;1537,688;1317,500
2020-03-23;19;21853,463;12866,613;310,525;0,000;6827,075;985,675;1167,813
2020-03-23;20;22344,825;13375,675;131,250;0,000;7137,175;525,750;1327,238
2020-03-23;21;21689,925;12114,038;104,000;0,000;7292,588;968,963;1329,888
2020-03-23;22;20344,075;10681,325;6,950;0,000;7253,450;1143,675;1275,775
2020-03-23;23;19151,088;9611,413;-8,638;0,000;7215,538;1036,775;1300,963
2020-03-23;24;18080,613;8845,725;-63,350;0,000;7143,275;867,213;1295,075
2020-03-24;1;17173,675;9146,863;-151,113;0,000;6941,850;464,725;776,988
2020-03-24;2;16631,200;9439,738;-327,738;0,000;6797,238;172,525;548,950
2020-03-24;3;16279,388;9421,625;-352,988;0,000;6763,700;-98,150;544,213
2020-03-24;4;16314,850;9712,225;-630,250;0,000;6562,025;127,475;540,063
2020-03-24;5;16515,550;9696,563;-669,088;0,000;6473,550;460,975;557,963
2020-03-24;6;16627,775;9357,538;-514,988;0,000;6464,763;537,350;785,588
2020-03-24;7;18258,888;9917,638;-100,638;0,000;6383,100;1071,575;986,988
2020-03-24;8;19957,600;11418,738;-7,588;0,000;6237,575;1261,100;1045,200
2020-03-24;9;20670,488;12127,750;-7,500;0,000;6017,413;1424,575;1100,938
2020-03-24;10;20764,813;12016,675;90,450;0,000;6160,900;1439,038;1165,913
2020-03-24;11;20565,175;11698,675;104,000;0,000;6147,375;1453,100;1281,763
2020-03-24;12;20770,900;12134,500;239,900;0,000;6048,850;1419,375;1173,300
2020-03-24;13;20792,125;12149,000;222,925;0,000;5993,700;1497,275;1157,988
2020-03-24;14;20781,200;12207,763;209,625;0,000;5919,075;1462,950;1198,000
2020-03-24;15;20330,775;11744,350;20,400;0,000;5878,613;1469,813;1234,038
2020-03-24;16;20170,775;11479,463;-7,175;0,000;5861,100;1507,875;1324,488
2020-03-24;17;20109,988;11491,150;73,050;0,000;5935,975;1423,200;1270,563
2020-03-24;18;20441,225;12103,113;102,013;0,000;6076,388;1039,013;1217,025
2020-03-24;19;21754,738;13047,150;331,200;0,000;6395,788;1272,400;1036,063
2020-03-24;20;22276,588;12933,263;451,263;0,000;6823,313;1218,200;1305,613
2020-03-24;21;21691,788;11685,263;93,163;0,000;7107,875;1574,225;1331,988
2020-03-24;22;20374,900;10233,550;-4,663;0,000;7319,375;1574,238;1266,213
2020-03-24;23;18974,188;9453,963;-6,950;0,000;7210,513;1197,513;1126,800
2020-03-24;24;17936,813;8822,313;-7,300;0,000;7191,063;975,200;955,450
2020-03-25;1;17076,388;8888,188;-9,850;0,000;7252,550;361,475;593,375
2020-03-25;2;16553,813;8898,500;-236,688;0,000;7348,675;-73,263;619,900
2020-03-25;3;16220,900;8849,575;-346,625;0,000;7341,138;-264,363;643,813
2020-03-25;4;16216,750;8981,963;-345,875;0,000;7081,300;-142,025;644,050
2020-03-25;5;16390,488;9017,688;-345,600;0,000;6953,925;126,925;641,500
2020-03-25;6;16371,275;8624,150;-398,113;0,000;7095,500;396,813;653,475
2020-03-25;7;18034,525;9321,038;-119,825;0,000;7205,563;723,425;905,538
2020-03-25;8;19764,775;10807,513;-7,475;0,000;6761,788;1093,675;1105,788
2020-03-25;9;20440,188;11389,313;-6,200;0,000;6506,113;1244,413;1306,625
2020-03-25;10;20404,988;10662,925;37,025;0,000;7053,988;1404,013;1332,263
2020-03-25;11;20290,638;10591,050;284,650;0,000;6879,275;1491,225;1333,388
2020-03-25;12;20345,488;11042,413;570,925;0,000;6586,513;1384,113;1335,088
2020-03-25;13;20311,975;11029,325;441,688;0,000;6568,350;1391,500;1334,600
2020-03-25;14;20347,963;10973,950;357,063;0,000;6652,888;1390,738;1336,563
2020-03-25;15;19952,600;10449,988;186,113;0,000;6756,825;1428,538;1320,863
2020-03-25;16;19845,938;10207,338;-2,813;0,000;6846,675;1478,675;1313,838
2020-03-25;17;19931,925;10208,150;73,875;0,000;6911,488;1498,150;1316,725
2020-03-25;18;20226,238;10561,225;103,425;0,000;6972,975;1402,375;1297,338
2020-03-25;19;21399,538;11383,300;123,613;0,000;7491,625;1401,038;1113,463
2020-03-25;20;22000,925;11333,188;28,088;0,000;8095,225;1340,038;1234,113
2020-03-25;21;21508,863;10856,400;14,375;0,000;8519,300;998,750;1148,263
2020-03-25;22;20189,400;10067,750;-3,125;0,000;8582,850;584,525;968,975
2020-03-25;23;18941,175;9387,963;-8,613;0,000;8488,550;295,238;785,513
2020-03-25;24;17830,600;8852,150;-9,413;0,000;8355,025;13,413;630,188
2020-03-26;1;17016,563;8320,838;-9,350;0,000;8241,913;-68,475;538,700
2020-03-26;2;16380,850;8112,988;-9,513;0,000;7933,675;-232,225;582,725
2020-03-26;3;15992,513;7975,475;-9,250;0,000;7647,225;-217,150;600,600
2020-03-26;4;15931,988;8263,500;-130,250;0,000;7440,838;-179,375;540,088
2020-03-26;5;16172,563;8520,050;-259,363;0,000;7391,338;67,788;452,638
2020-03-26;6;16188,750;8746,800;-326,088;0,000;7377,375;-57,100;453,550
2020-03-26;7;17930,475;9850,863;-80,088;0,000;7284,100;406,513;473,775
2020-03-26;8;19768,213;11883,225;-5,938;0,000;6726,775;597,613;563,313
2020-03-26;9;20545,813;12620,275;-6,038;0,000;6220,913;825,263;880,888
2020-03-26;10;20613,613;12321,575;92,038;0,000;6125,000;1085,013;1090,413
2020-03-26;11;20378,063;11369,988;123,988;0,000;6428,475;1457,338;1144,775
2020-03-26;12;20468,800;10921,275;108,525;0,000;6765,138;1487,000;1313,000
2020-03-26;13;20485,200;10956,088;73,175;0,000;6819,600;1478,100;1234,475
2020-03-26;14;20558,088;11311,838;276,963;0,000;6656,200;1373,338;1228,363
2020-03-26;15;20148,063;10919,850;91,300;0,000;6610,500;1332,300;1289,788
2020-03-26;16;20044,675;10724,663;49,250;0,000;6762,625;1243,438;1322,188
2020-03-26;17;19892,225;10607,863;49,125;0,000;6734,550;1225,438;1333,513
2020-03-26;18;20003,538;10789,500;111,400;0,000;6520,900;1369,988;1329,363
2020-03-26;19;21133,763;11427,700;102,763;0,000;7038,850;1413,013;1243,538
2020-03-26;20;21662,075;11513,500;102,350;0,000;7551,450;1277,013;1324,088
2020-03-26;21;21012,000;11048,775;22,413;0,000;7653,500;1014,750;1311,000
2020-03-26;22;19741,563;10148,963;-6,700;0,000;7678,988;839,725;1093,863
2020-03-26;23;18517,900;9551,813;-9,225;0,000;7578,275;389,863;1011,288
2020-03-26;24;17363,663;8961,763;-11,550;0,000;7533,150;-50,988;941,088
2020-03-27;1;16486,500;8411,250;-13,338;0,000;7456,225;130,350;505,288
2020-03-27;2;16018,400;8409,525;-98,938;0,000;7509,725;-310,850;516,613
2020-03-27;3;15759,313;8451,313;-370,850;0,000;7417,438;-266,613;529,238
2020-03-27;4;15699,050;8421,238;-401,988;0,000;7279,300;-85,938;486,775
2020-03-27;5;15851,200;8385,300;-401,263;0,000;7164,475;284,613;420,350
2020-03-27;6;15838,825;8057,088;-400,675;0,000;7165,188;427,563;597,900
2020-03-27;7;17507,838;9006,388;-92,113;0,000;7067,963;831,725;698,988
2020-03-27;8;19049,238;10502,950;-7,075;0,000;6563,125;1032,825;956,125
2020-03-27;9;19877,600;11616,763;-2,963;0,000;5960,775;1320,150;982,888
2020-03-27;10;19973,050;11802,850;77,213;0,000;5600,775;1465,963;1113,763
2020-03-27;11;19844,175;11534,500;106,313;0,000;5664,600;1442,025;1210,738
2020-03-27;12;19934,300;11458,863;109,025;0,000;5853,763;1478,075;1145,213
2020-03-27;13;19799,125;11348,263;29,275;0,000;5884,550;1457,613;1115,713
2020-03-27;14;19822,988;11250,675;0,063;0,000;5797,000;1506,363;1278,913
2020-03-27;15;19376,850;10905,700;-2,650;0,000;5698,538;1520,963;1263,238
2020-03-27;16;19336,975;10976,850;-2,663;0,000;5663,513;1386,938;1309,600
2020-03-27;17;19353,113;11064,150;92,800;0,000;5724,450;1272,188;1291,675
2020-03-27;18;19443,088;10841,225;340,938;0,000;5958,075;1394,763;1255,838
2020-03-27;19;20432,300;11449,863;383,138;0,000;6490,550;1435,988;1057,675
2020-03-27;20;21106,475;11534,800;659,925;0,000;6816,263;1446,825;1314,638
2020-03-27;21;20426,175;10822,888;576,825;0,000;6785,763;1504,775;1321,250
2020-03-27;22;19090,525;9504,550;527,875;0,000;6824,788;1527,913;1246,538
2020-03-27;23;17760,400;8286,688;126,763;0,000;6742,200;1424,088;1322,313
2020-03-27;24;16797,450;7761,525;-9,638;0,000;6642,388;1254,863;1153,688
2020-03-28;1;15999,525;7724,700;-26,750;0,000;6448,563;935,463;922,188
2020-03-28;2;15429,350;7877,750;-143,925;0,000;6279,825;677,175;738,813
2020-03-28;3;15066,913;8105,363;-144,025;0,000;5962,775;494,763;650,575
2020-03-28;4;14941,750;8131,700;-197,850;0,000;5790,325;536,675;682,625
2020-03-28;5;14914,313;8113,813;-221,675;0,000;5681,750;455,513;886,588
2020-03-28;6;14430,625;8165,875;-338,500;0,000;5587,413;111,063;905,413
2020-03-28;7;15008,688;7785,738;-338,338;0,000;5517,425;968,850;1074,838
2020-03-28;8;15845,175;8284,588;-320,900;0,000;5350,575;1236,913;1297,725
2020-03-28;9;16604,938;8945,313;-33,788;0,000;5158,850;1191,563;1345,450
2020-03-28;10;17147,325;9947,688;-9,138;0,000;5010,913;859,425;1347,663
2020-03-28;11;17244,300;9919,225;-73,150;0,000;5042,650;1049,838;1326,363
2020-03-28;12;17210,650;10227,025;49,900;0,000;5142,538;966,113;900,838
2020-03-28;13;17019,063;10110,063;22,525;0,000;5059,588;997,125;861,700
2020-03-28;14;16969,350;10029,400;87,950;0,000;5029,800;1079,325;843,588
